"","Name","FT","FTA"
"1","P.J. Tucker",33,51
"2","James Harden",529,609
"3","Clint Capela",109,174
"4","Eric Gordon",93,118
"5","Gerald Green",39,49
"6","Chris Paul",100,121
"7","James Ennis",42,58
"8","Austin Rivers",14,26
"9","Danuel House",45,55
"10","Gary Clark",6,6
"11","Nene Hilario",22,31
"12","Kenneth Faried",24,44
"13","Carmelo Anthony",15,22
"14","Isaiah Hartenstein",11,14
"15","Michael Carter-Williams",12,26
"16","Brandon Knight",9,11
"17","Marquese Chriss",6,7
"18","James Nunnally",0,0
"19","Iman Shumpert",0,0
"20","Vince Edwards",0,0
"21","Zhou Qi",0,0
